                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3476,                 1.0036,                 1.1717,                0.86548,                0.80248,                0.86925,                 0.5262,                 1.4285,                 1.0487,                 1.2528,             0.00097629,             0.00097629,             0.00097629
                     35,                  1.353,                 1.0334,                 1.1921,                0.83903,                0.81971,                0.86392,                0.54683,                 1.4019,                  1.035,                 1.2408,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.3245,                0.99636,                 1.1908,                0.85856,                0.82329,                 0.8827,                0.56648,                 1.3349,                 1.0022,                 1.1958,               0.000948,               0.000948,               0.000948
                     37,                 1.3132,                0.97646,                 1.1583,                0.85894,                0.83279,                0.87676,                0.56559,                 1.3185,                0.99636,                  1.186,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.3609,                0.98098,                 1.1847,                0.88934,                0.82956,                0.88643,                0.55263,                 1.3391,                0.99875,                  1.201,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.3825,                0.98998,                 1.2175,                0.89485,                0.84942,                0.90077,                0.56903,                 1.3398,                0.98226,                 1.2185,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3126,                0.97598,                 1.1682,                0.86493,                0.83973,                0.88548,                0.56819,                 1.3331,                 1.0365,                 1.2317,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.3056,                0.96299,                 1.1835,                0.86387,                0.82374,                0.87668,                0.56995,                 1.3116,                 1.0254,                 1.2357,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2881,                0.93575,                 1.1691,                0.93487,                0.83276,                0.89695,                0.57542,                 1.2585,                0.97137,                  1.201,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.3215,                0.95933,                 1.1741,                0.90076,                0.85019,                0.88617,                0.57735,                 1.2758,                 1.0162,                 1.2232,             0.00084897,             0.00084897,             0.00084897
