                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.45,                 2.8184,                  1.647,                0.01385,                0.72815,                0.32501,                0.18116,                 1.6743,                 3.2756,                 1.7723,             0.00025722,             0.00025722,             0.00025722
                      2,                 1.3219,                 1.8588,                 1.5165,                      1,                0.09299,                0.39784,                0.24388,                 1.5867,                 3.1442,                 1.8543,              0.0005235,              0.0005235,              0.0005235
                      3,                 1.3924,                 1.7166,                 1.5312,                0.80589,                0.34421,                0.47347,                0.26248,                 1.7498,                  2.712,                 2.0194,              0.0007844,              0.0007844,              0.0007844
                      4,                 1.4072,                 1.7061,                 1.5442,                0.48239,                0.43303,                0.50048,                0.20457,                 1.8383,                 2.6984,                 2.1214,              0.0010399,              0.0010399,              0.0010399
                      5,                 1.4136,                 1.6843,                 1.5522,                0.54132,                0.53705,                0.61773,                 0.3217,                 1.7909,                 2.4074,                  1.928,              0.0012901,              0.0012901,              0.0012901
                      6,                 1.3922,                 1.6598,                 1.5479,                0.62128,                 0.7463,                0.69546,                0.33748,                 1.9319,                 1.8479,                 2.3859,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3889,                 1.5652,                 1.5546,                 0.7166,                0.73561,                0.70103,                0.34533,                 1.8571,                 1.7221,                 2.0738,              0.0013583,              0.0013583,              0.0013583
                      8,                  1.356,                 1.4717,                 1.5303,                0.90052,                0.58295,                0.65199,                0.34891,                 1.7361,                 1.7881,                 1.8997,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.3367,                 1.4277,                 1.5028,                0.57866,                0.75556,                0.65386,                0.35712,                 1.7192,                 1.7294,                 1.9424,                0.00133,                0.00133,                0.00133
                     10,                  1.364,                 1.4307,                 1.5172,                0.68639,                 0.6263,                0.65411,                0.36676,                 1.6292,                 1.7655,                 1.8685,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.2852,                 1.3707,                  1.472,                0.67999,                  0.659,                0.67692,                0.35977,                 1.7357,                 1.6008,                 2.0155,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.3314,                 1.3425,                 1.4874,                0.72632,                0.71712,                0.71936,                0.35324,                 1.7879,                 1.5888,                 1.8922,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2805,                 1.3016,                 1.4587,                0.56288,                0.74735,                 0.6977,                0.38381,                 1.6964,                 1.6239,                 1.8076,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.3114,                 1.2765,                 1.4582,                0.61449,                0.66222,                0.67855,                0.38996,                 1.7395,                 1.5542,                 1.8898,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.3135,                 1.2615,                 1.4821,                0.58697,                0.72481,                  0.707,                0.40208,                 1.6079,                 1.4777,                 1.7634,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.3458,                 1.2617,                 1.4836,                0.62572,                0.66889,                0.65668,                0.37064,                 1.7003,                 1.5538,                 1.8199,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.2637,                 1.1739,                 1.4448,                0.59503,                0.77118,                0.70031,                0.39542,                 1.6428,                 1.2844,                 1.6552,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.2877,                 1.2141,                 1.4546,                0.69188,                0.67556,                0.69236,                0.38644,                 1.7144,                 1.4542,                 1.7834,              0.0012026,              0.0012026,              0.0012026
